"Data","Dependencia Origem","Histórico","Data do Balancete","Número do documento","Valor",
"25/03/2024","","Pagamento de Telefone - VIVO FIXO NACIONAL 13 DIG","","11015","-77.26",
"26/03/2024","631-9","Transferido da poupança - 26/03 17:48 DIVA LAURIS FERN","","631510085985","500.00",
"26/03/2024","631-9","Compra com Cartão - 26/03 15:05 COMERCIAL SANDR","","154314","-146.97",
"26/03/2024","631-9","Compra com Cartão - 26/03 15:55 COMACO","","257319","-11.08",
"26/03/2024","631-9","Compra com Cartão - 26/03 17:57 MERCADO BOM PRECO","","364639","-10.38",
"27/03/2024","631-9","Compra com Cartão - 27/03 09:37 MERCADO BOM PRECO","","134628","-45.22",
"27/03/2024","631-9","Compra com Cartão - 27/03 15:20 SUPERMERCADO PANELAO","","155243","-38.09",
"27/03/2024","631-9","Compra com Cartão - 27/03 15:33 PAG*AgropetStelio","","256016","-19.00",
"28/03/2024","","Benefício INSS","","72971605","1412.00",
"28/03/2024","","Devol Tarifa 2via Cartao - Estorno cobrança de         04/10/2022","","100880800033730","9.70",
"28/03/2024","631-9","Aplicação Poupança - 28/03 07:29 DIVA LAURIS FERNANDES","","520631510085985","-1412.00",
"28/03/2024","","Pix - Enviado - 28/03 07:27 Pix Marketplace","","32801","-38.30",
"31/03/2024","","S A L D O","","0","250.75",
